Name,Title,Bmax - Left ROW Edge,Emax - Left ROW Edge,Bmax - Right ROW Edge,Emax - Right ROW Edge
14E,Section 14 Existing,28.145745639,0.19657887715,17.4985008783,0.337510719268
14P,Section 14 Proposed,27.5618175215,0.95282707803,11.198223085,0.153411176653
18E,Section 18 Existing,19.2453495735,0.586958181392,23.4165551325,0.664822414251
18P,Section 18 Proposed,10.646631738,0.446828788302,12.4881434144,0.494000544271
32E,Section 32 Existing,528.396157957,4.58648303986,707.636250402,2.20331332346
32P,Section 32 Proposed,238.057275175,1.53657896271,72.8173050415,0.108668012439
HL_E,High Load Existing,134.051808067,2.03092969335,134.052258484,2.22521604814
HL_P,High Load Proposed,109.021107997,1.95886026391,77.8422219362,1.19243116406
und_E,Underground Existing,80.7722060199,1.98086491719,69.4557505351,10.1951368005
und_P,Underground Proposed,15.7429472647,0.162673783668,15.5307754738,0.10569190502
