x,B,Ex,Ey,E
-25,3.0474670668,0.794443974461,3.13595774023,3.13595774023
-24,3.2573792513,0.870118291815,3.39665463462,3.39665463462
-23,3.48712345346,0.951233222074,3.6831744997,3.6831744997
-22,3.7387723822,1.03714480173,3.99763351462,3.99763351462
-21,4.01456032931,1.12668535182,4.34201002992,4.34201002992
-20,4.31685641111,1.21797809556,4.71797207042,4.71797207042
-19,4.64810623764,1.30821593252,5.12662891289,5.12662891289
-18,5.01074480021,1.39341494938,5.56818255598,5.56818255598
-17,5.40707423911,1.46817120286,6.04145183017,6.04145183017
-16,5.83908902392,1.52548145941,6.5432428162,6.5432428162
-15,6.30810676081,1.5567452595,7.0675489949,7.0675489949
-14,6.81461597575,1.55216909316,7.60459084155,7.60459084155
-13,7.35760645669,1.5020029849,8.13975782358,8.13975782358
-12,7.93425890046,1.39954269653,8.65260650823,8.65260650823
-11,8.53933029637,1.24824540651,9.11620001527,9.11620001527
-10,9.16468907596,1.07913023941,9.49722869004,9.49722869004
-9,9.79916652626,0.985523778557,9.75747488343,9.75747488343
-8,10.4285814673,1.11419368565,9.85718141055,9.85718141055
-7,11.0364815454,1.50130901587,9.76065754856,9.76065754856
-6,11.6051113493,2.05174698136,9.44401051109,9.44401051109
-5,15.5114692302,2.66917479715,8.9044471831,8.9044471831
-4,36.2118901497,3.2797105373,8.17059959439,8.17059959439
-3,36.2615278636,3.82262601012,7.31407282452,7.31407282452
-2,36.1862014983,4.24808979384,6.46243798106,6.46243798106
-1,36.0096530526,4.5187564433,5.80515886699,5.80515886699
0,32.1091970018,4.61157087562,5.55235294786,5.55235294786
1,36.009646552,4.5187564433,5.80515886699,5.80515886699
2,36.1862622852,4.24808979384,6.46243798106,6.46243798106
3,36.2614921879,3.82262601012,7.31407282452,7.31407282452
4,36.2120107603,3.2797105373,8.17059959439,8.17059959439
5,15.5115120802,2.66917479715,8.9044471831,8.9044471831
6,11.6050769724,2.05174698136,9.44401051109,9.44401051109
7,11.0364940639,1.50130901587,9.76065754856,9.76065754856
8,10.4286037245,1.11419368565,9.85718141055,9.85718141055
9,9.79916774759,0.985523778557,9.75747488343,9.75747488343
10,9.16466718098,1.07913023941,9.49722869004,9.49722869004
11,8.53932648448,1.24824540651,9.11620001527,9.11620001527
12,7.93426900393,1.39954269653,8.65260650823,8.65260650823
13,7.35761163704,1.5020029849,8.13975782358,8.13975782358
14,6.81460312846,1.55216909316,7.60459084155,7.60459084155
15,6.30811402254,1.5567452595,7.0675489949,7.0675489949
16,5.83908385284,1.52548145941,6.5432428162,6.5432428162
17,5.40709029,1.46817120286,6.04145183017,6.04145183017
18,5.01074454648,1.39341494938,5.56818255598,5.56818255598
19,4.64809194379,1.30821593252,5.12662891289,5.12662891289
20,4.31684214712,1.21797809556,4.71797207042,4.71797207042
21,4.01454636801,1.12668535182,4.34201002992,4.34201002992
22,3.73876481116,1.03714480173,3.99763351462,3.99763351462
23,3.48712641614,0.951233222074,3.6831744997,3.6831744997
24,3.25738879446,0.870118291815,3.39665463462,3.39665463462
25,3.04746895105,0.794443974461,3.13595774023,3.13595774023
