Name,Title,Bmax - Left ROW Edge,Emax - Left ROW Edge,Bmax - Right ROW Edge,Emax - Right ROW Edge
xc1,Cross Section 1,5.22746234551,2.36870553646,5.76760101845,2.32877721891
xc2,Cross Section 2,2.41520808186,0.966459517023,2.41521166046,0.966456858741
xc3,Cross Section 3,11.2138466837,4.05168853295,11.2138646762,4.05168612831
xc4,Cross Section 4,10.7100683619,3.00897671227,10.7100683619,3.00897671227
xc5,Cross Section 5,10.0793556337,4.29029788674,10.0793301077,4.29030661594
xc_und,Underground Cross Section,80.4098226221,1.62673783668,73.4841277311,1.0569190502
