Cross Section 3
test cross section
CROSSS~3.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
  31.00    6.822    1.982    7.104    7.098    0.386    2.842    2.868    2.868
  32.00    6.457    2.132    6.800    6.794    0.379    2.712    2.738    2.738
  33.00    6.107    2.254    6.509    6.504    0.369    2.586    2.612    2.612
  34.00    5.772    2.351    6.233    6.229    0.358    2.463    2.489    2.489
  35.00    5.455    2.426    5.970    5.966    0.346    2.345    2.370    2.370
  36.00    5.154    2.482    5.720    5.717    0.333    2.231    2.256    2.255
  37.00    4.869    2.521    5.483    5.481    0.319    2.122    2.146    2.146
  38.00    4.601    2.546    5.258    5.256    0.305    2.018    2.041    2.041
  39.00    4.348    2.558    5.045    5.043    0.291    1.919    1.941    1.941
  40.00    4.110    2.560    4.842    4.840    0.277    1.825    1.846    1.846
  41.00    3.886    2.553    4.650    4.648    0.263    1.735    1.755    1.755
  42.00    3.676    2.539    4.468    4.466    0.249    1.651    1.669    1.669
  43.00    3.479    2.518    4.295    4.294    0.236    1.570    1.588    1.588
  44.00    3.294    2.493    4.131    4.130    0.224    1.494    1.511    1.511
  45.00    3.120    2.463    3.975    3.974    0.212    1.422    1.438    1.438
  46.00    2.957    2.429    3.827    3.826    0.200    1.354    1.369    1.369
  47.00    2.804    2.393    3.687    3.686    0.189    1.290    1.304    1.304
  48.00    2.661    2.355    3.553    3.553    0.179    1.229    1.242    1.242
  49.00    2.526    2.315    3.426    3.426    0.169    1.172    1.184    1.184
  50.00    2.400    2.274    3.306    3.305    0.160    1.117    1.129    1.129
