    x	        Bx	    Bxperc	        By	    Byperc	     Bprod	    Bprodp	      Bmax	     Bmaxp
  420	    0.0194	    2.1045	    0.1846	   -0.2339	    0.1856	   -0.2236	    0.1856	   -0.2236
  425	    0.0187	   -1.4469	    0.1803	    0.1569	    0.1813	    0.1394	    0.1813	    0.1394
  430	    0.0181	    0.4513	    0.1761	    0.0823	    0.1771	    0.0398	    0.1771	    0.0398
  435	    0.0175	    2.7443	    0.1721	    0.0858	    0.1730	    0.0181	    0.1730	    0.0181
  440	    0.0169	   -0.7096	    0.1683	    0.1694	    0.1691	    0.0763	    0.1691	    0.0763
  445	    0.0163	    1.9889	    0.1645	   -0.2728	    0.1654	    0.2164	    0.1654	    0.2164
  450	    0.0158	   -1.3646	    0.1609	   -0.0386	    0.1617	   -0.1792	    0.1617	   -0.1792
  455	    0.0153	    1.7890	    0.1574	    0.2823	    0.1582	    0.1151	    0.1582	    0.1151
  460	    0.0148	   -1.4864	    0.1541	    0.0395	    0.1548	   -0.1497	    0.1548	   -0.1497
  465	    0.0143	    2.1899	    0.1508	   -0.1416	    0.1515	    0.3069	    0.1515	    0.3069
  470	    0.0139	   -1.0295	    0.1476	   -0.2604	    0.1483	    0.1780	    0.1483	    0.1780
  475	    0.0134	    3.2607	    0.1445	   -0.3160	    0.1452	    0.1130	    0.1452	    0.1130
  480	    0.0130	    0.0743	    0.1416	   -0.3072	    0.1422	    0.1129	    0.1422	    0.1129
  485	    0.0126	   -2.9823	    0.1387	   -0.2326	    0.1392	    0.1792	    0.1392	    0.1792
  490	    0.0122	    1.9245	    0.1359	   -0.0905	    0.1364	    0.3135	    0.1364	    0.3135
  495	    0.0119	   -1.1266	    0.1332	    0.1210	    0.1337	   -0.2325	    0.1337	   -0.2325
  500	    0.0115	   -4.0573	    0.1305	   -0.3623	    0.1310	    0.0245	    0.1310	    0.0245
  505	    0.0112	    1.5928	    0.1280	   -0.0257	    0.1285	    0.3548	    0.1285	    0.3548
  510	    0.0109	   -1.3603	    0.1255	    0.3866	    0.1260	   -0.0385	    0.1260	   -0.0385
  515	    0.0105	   -4.2000	    0.1231	    0.0576	    0.1235	   -0.3861	    0.1235	   -0.3861
  520	    0.0102	    2.3750	    0.1207	   -0.2253	    0.1212	    0.1327	    0.1212	    0.1327
  525	    0.0099	   -0.5169	    0.1184	    0.3813	    0.1189	   -0.1118	    0.1189	   -0.1118
  530	    0.0097	   -3.3009	    0.1162	    0.2037	    0.1166	   -0.3095	    0.1166	   -0.3095
  535	    0.0094	    4.4644	    0.1141	    0.0737	    0.1145	    0.4130	    0.1145	    0.4130
  540	    0.0091	    1.5944	    0.1120	   -0.0081	    0.1124	    0.3246	    0.1124	    0.3246
  545	    0.0089	   -1.1714	    0.1100	   -0.0411	    0.1103	    0.2854	    0.1103	    0.2854
  550	    0.0087	   -3.8378	    0.1080	   -0.0244	    0.1083	    0.2962	    0.1083	    0.2962
  555	    0.0084	    5.2897	    0.1060	    0.0428	    0.1064	    0.3579	    0.1064	    0.3579
  560	    0.0082	    2.4991	    0.1042	    0.1619	    0.1045	    0.4717	    0.1045	    0.4717
  565	    0.0080	   -0.1938	    0.1023	    0.3339	    0.1027	   -0.3383	    0.1027	   -0.3383
  570	    0.0078	   -2.7933	    0.1006	   -0.4352	    0.1009	   -0.1379	    0.1009	   -0.1379
  575	    0.0076	   -5.3032	    0.0988	   -0.1754	    0.0991	    0.1174	    0.0991	    0.1174
  580	    0.0074	    5.4542	    0.0971	    0.1408	    0.0974	    0.4295	    0.0974	    0.4295
  585	    0.0072	    2.7773	    0.0955	    0.5155	    0.0958	   -0.2496	    0.0958	   -0.2496
  590	    0.0070	    0.1902	    0.0939	   -0.1230	    0.0941	    0.1553	    0.0941	    0.1553
  595	    0.0068	   -2.3108	    0.0923	    0.3469	    0.0926	   -0.4601	    0.0926	   -0.4601
  600	    0.0067	   -4.7293	    0.0908	   -0.2278	    0.0910	    0.0410	    0.0910	    0.0410
  605	    0.0065	   -7.0687	    0.0893	    0.3412	    0.0895	   -0.5108	    0.0895	   -0.5108
  610	    0.0063	    5.7792	    0.0879	   -0.1693	    0.0881	    0.0909	    0.0881	    0.0909
  615	    0.0062	    3.2236	    0.0864	    0.5040	    0.0867	   -0.3965	    0.0867	   -0.3965
  620	    0.0060	    0.7497	    0.0850	    0.0586	    0.0853	    0.3111	    0.0853	    0.3111
  625	    0.0059	   -1.6459	    0.0837	   -0.3581	    0.0839	   -0.1108	    0.0839	   -0.1108
  630	    0.0058	   -3.9662	    0.0824	    0.4639	    0.0826	   -0.5040	    0.0826	   -0.5040
  635	    0.0056	   -6.2140	    0.0811	    0.1142	    0.0813	    0.3550	    0.0813	    0.3550
  640	    0.0055	    9.9293	    0.0798	   -0.2068	    0.0800	    0.0295	    0.0800	    0.0295
  645	    0.0054	    7.3957	    0.0786	   -0.4992	    0.0788	   -0.2673	    0.0788	   -0.2673
  650	    0.0052	    4.9393	    0.0774	    0.5258	    0.0776	   -0.5353	    0.0776	   -0.5353
  655	    0.0051	    2.5572	    0.0762	    0.3043	    0.0764	    0.5310	    0.0764	    0.5310
