32P
Cross Section 32, Proposed
32P.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
%-1275.00
-940.00    0.372    3.312    3.333    3.333    0.000    0.005    0.005    0.005
-935.00    0.377    3.354    3.375    3.375    0.000    0.005    0.005    0.005
-930.00    0.382    3.397    3.418    3.418    0.000    0.005    0.005    0.005
-925.00    0.388    3.440    3.462    3.462    0.000    0.005    0.005    0.005
-920.00    0.393    3.484    3.506    3.506    0.000    0.005    0.005    0.005
-915.00    0.399    3.529    3.552    3.552    0.000    0.005    0.005    0.005
-910.00    0.404    3.575    3.598    3.598    0.000    0.005    0.005    0.005
-905.00    0.410    3.622    3.646    3.646    0.000    0.005    0.005    0.005
-900.00    0.416    3.670    3.694    3.694    0.000    0.005    0.005    0.005
-895.00    0.422    3.719    3.743    3.743    0.000    0.005    0.005    0.005
-890.00    0.429    3.769    3.793    3.793    0.000    0.006    0.006    0.006
-885.00    0.435    3.820    3.845    3.845    0.000    0.006    0.006    0.006
-880.00    0.442    3.872    3.897    3.897    0.000    0.006    0.006    0.006
-875.00    0.448    3.925    3.950    3.950    0.000    0.006    0.006    0.006
-870.00    0.455    3.979    4.005    4.005    0.000    0.006    0.006    0.006
-865.00    0.462    4.034    4.061    4.061    0.000    0.006    0.006    0.006
-860.00    0.469    4.091    4.118    4.118    0.000    0.006    0.006    0.006
-855.00    0.477    4.148    4.176    4.176    0.000    0.006    0.006    0.006
-850.00    0.484    4.207    4.235    4.235    0.000    0.006    0.006    0.006
-845.00    0.492    4.267    4.296    4.296    0.000    0.006    0.006    0.006
-840.00    0.500    4.329    4.358    4.358    0.000    0.006    0.006    0.006
-835.00    0.508    4.392    4.421    4.421    0.000    0.006    0.006    0.006
-830.00    0.517    4.456    4.486    4.486    0.000    0.007    0.007    0.007
-825.00    0.525    4.522    4.552    4.552    0.000    0.007    0.007    0.007
-820.00    0.534    4.589    4.620    4.620    0.000    0.007    0.007    0.007
-815.00    0.543    4.657    4.689    4.689    0.000    0.007    0.007    0.007
-810.00    0.552    4.728    4.760    4.760    0.000    0.007    0.007    0.007
-805.00    0.562    4.800    4.832    4.832    0.000    0.007    0.007    0.007
-800.00    0.571    4.873    4.907    4.907    0.000    0.007    0.007    0.007
-795.00    0.581    4.948    4.983    4.983    0.000    0.007    0.007    0.007
-790.00    0.592    5.026    5.060    5.060    0.000    0.007    0.007    0.007
-785.00    0.602    5.104    5.140    5.140    0.000    0.008    0.008    0.008
-780.00    0.613    5.185    5.221    5.221    0.000    0.008    0.008    0.008
-775.00    0.624    5.268    5.305    5.305    0.000    0.008    0.008    0.008
-770.00    0.636    5.353    5.391    5.391    0.000    0.008    0.008    0.008
-765.00    0.648    5.440    5.478    5.478    0.000    0.008    0.008    0.008
-760.00    0.660    5.529    5.568    5.568    0.000    0.008    0.008    0.008
-755.00    0.672    5.620    5.660    5.660    0.000    0.008    0.008    0.008
-750.00    0.685    5.714    5.755    5.755    0.000    0.009    0.009    0.009
-745.00    0.698    5.810    5.852    5.852    0.000    0.009    0.009    0.009
-740.00    0.712    5.908    5.951    5.951    0.000    0.009    0.009    0.009
-735.00    0.726    6.010    6.053    6.053    0.000    0.009    0.009    0.009
-730.00    0.741    6.113    6.158    6.158    0.000    0.009    0.009    0.009
-725.00    0.756    6.220    6.266    6.266    0.000    0.009    0.009    0.009
-720.00    0.771    6.329    6.376    6.376    0.000    0.010    0.010    0.010
-715.00    0.787    6.441    6.489    6.489    0.000    0.010    0.010    0.010
-710.00    0.804    6.557    6.606    6.606    0.000    0.010    0.010    0.010
-705.00    0.821    6.675    6.726    6.726    0.000    0.010    0.010    0.010
-700.00    0.838    6.797    6.849    6.849    0.000    0.010    0.010    0.010
-695.00    0.856    6.923    6.975    6.975    0.000    0.011    0.011    0.011
-690.00    0.875    7.052    7.106    7.106    0.000    0.011    0.011    0.011
-685.00    0.895    7.184    7.240    7.240    0.000    0.011    0.011    0.011
-680.00    0.915    7.321    7.378    7.378    0.000    0.011    0.011    0.011
-675.00    0.936    7.461    7.520    7.520    0.000    0.012    0.012    0.012
-670.00    0.957    7.606    7.666    7.666    0.000    0.012    0.012    0.012
-665.00    0.980    7.755    7.816    7.816    0.000    0.012    0.012    0.012
-660.00    1.003    7.908    7.971    7.971    0.000    0.012    0.012    0.012
-655.00    1.027    8.066    8.131    8.131    0.000    0.013    0.013    0.013
-650.00    1.052    8.229    8.296    8.296    0.000    0.013    0.013    0.013
-645.00    1.078    8.397    8.466    8.466    0.000    0.013    0.013    0.013
-640.00    1.104    8.571    8.642    8.642    0.000    0.014    0.014    0.014
-635.00    1.132    8.750    8.823    8.823    0.000    0.014    0.014    0.014
-630.00    1.161    8.935    9.010    9.010    0.000    0.014    0.014    0.014
-625.00    1.192    9.126    9.203    9.203    0.000    0.015    0.015    0.015
-620.00    1.223    9.323    9.403    9.403    0.000    0.015    0.015    0.015
-615.00    1.256    9.527    9.609    9.609    0.000    0.015    0.015    0.015
-610.00    1.290    9.737    9.822    9.822    0.000    0.016    0.016    0.016
-605.00    1.325    9.955   10.043   10.043    0.000    0.016    0.016    0.016
-600.00    1.362   10.181   10.272   10.272    0.000    0.017    0.017    0.017
-595.00    1.401   10.415   10.508   10.508    0.000    0.017    0.017    0.017
-590.00    1.441   10.656   10.753   10.753    0.000    0.017    0.017    0.017
-585.00    1.484   10.907   11.007   11.007    0.000    0.018    0.018    0.018
-580.00    1.528   11.167   11.271   11.271    0.000    0.018    0.018    0.018
-575.00    1.574   11.436   11.544   11.544    0.000    0.019    0.019    0.019
-570.00    1.623   11.716   11.828   11.828    0.000    0.020    0.020    0.020
-565.00    1.673   12.006   12.122   12.122    0.000    0.020    0.020    0.020
-560.00    1.726   12.307   12.428   12.428    0.000    0.021    0.021    0.021
-555.00    1.782   12.621   12.746   12.746    0.000    0.021    0.021    0.021
-550.00    1.841   12.946   13.077   13.077    0.000    0.022    0.022    0.022
-545.00    1.903   13.285   13.421   13.421    0.000    0.023    0.023    0.023
-540.00    1.968   13.638   13.779   13.779    0.000    0.023    0.023    0.023
-535.00    2.036   14.005   14.153   14.153    0.000    0.024    0.024    0.024
-530.00    2.108   14.388   14.542   14.542    0.001    0.025    0.025    0.025
-525.00    2.184   14.788   14.948   14.948    0.001    0.026    0.026    0.026
-520.00    2.265   15.205   15.372   15.372    0.001    0.027    0.027    0.027
-515.00    2.350   15.640   15.815   15.815    0.001    0.028    0.028    0.028
-510.00    2.439   16.095   16.278   16.278    0.001    0.029    0.029    0.029
-505.00    2.535   16.570   16.763   16.763    0.001    0.030    0.030    0.030
-500.00    2.636   17.068   17.270   17.270    0.001    0.031    0.031    0.031
-495.00    2.743   17.589   17.802   17.802    0.001    0.032    0.032    0.032
-490.00    2.857   18.136   18.359   18.359    0.001    0.034    0.034    0.034
-485.00    2.979   18.709   18.944   18.944    0.001    0.035    0.035    0.035
-480.00    3.108   19.311   19.559   19.559    0.001    0.037    0.037    0.037
-475.00    3.247   19.943   20.206   20.206    0.001    0.038    0.038    0.038
-470.00    3.394   20.608   20.886   20.886    0.001    0.040    0.040    0.040
-465.00    3.552   21.309   21.603   21.603    0.001    0.042    0.042    0.042
-460.00    3.722   22.047   22.359   22.359    0.001    0.044    0.044    0.044
-455.00    3.904   22.825   23.157   23.157    0.001    0.046    0.046    0.046
-450.00    4.100   23.647   24.000   24.000    0.001    0.048    0.048    0.048
-445.00    4.311   24.517   24.893   24.893    0.002    0.050    0.050    0.050
-440.00    4.539   25.437   25.839   25.839    0.002    0.053    0.053    0.053
-435.00    4.785   26.412   26.842   26.842    0.002    0.056    0.056    0.056
-430.00    5.052   27.447   27.908   27.908    0.002    0.059    0.059    0.059
-425.00    5.342   28.547   29.042   29.042    0.002    0.062    0.062    0.062
-420.00    5.657   29.717   30.251   30.250    0.002    0.066    0.066    0.066
-415.00    6.001   30.964   31.540   31.540    0.002    0.070    0.070    0.070
-410.00    6.377   32.294   32.918   32.917    0.003    0.074    0.074    0.074
-405.00    6.789   33.716   34.393   34.393    0.003    0.079    0.079    0.079
-400.00    7.242   35.239   35.975   35.975    0.003    0.084    0.084    0.084
-395.00    7.741   36.872   37.676   37.675    0.004    0.089    0.090    0.090
-390.00    8.293   38.627   39.507   39.506    0.004    0.096    0.096    0.096
-385.00    8.904   40.516   41.483   41.482    0.004    0.103    0.103    0.103
-380.00    9.584   42.554   43.620   43.619    0.005    0.111    0.111    0.111
-375.00   10.344   44.758   45.938   45.936    0.006    0.119    0.119    0.119
-370.00   11.194   47.146   48.457   48.455    0.006    0.129    0.129    0.129
-365.00   12.151   49.740   51.202   51.200    0.007    0.140    0.140    0.140
-360.00   13.233   52.564   54.204   54.201    0.008    0.153    0.153    0.153
-355.00   14.459   55.648   57.496   57.492    0.009    0.167    0.167    0.167
-350.00   15.858   59.025   61.118   61.113    0.010    0.183    0.183    0.183
-345.00   17.462   62.733   65.118   65.111    0.012    0.201    0.202    0.202
-340.00   19.310   66.818   69.552   69.544    0.014    0.223    0.223    0.223
-335.00   21.454   71.333   74.489   74.479    0.016    0.247    0.248    0.248
-330.00   23.956   76.340   80.011   79.997    0.019    0.276    0.277    0.277
-325.00   26.897   81.914   86.217   86.199    0.022    0.310    0.311    0.311
-320.00   30.380   88.142   93.230   93.207    0.026    0.350    0.351    0.351
-315.00   34.542   95.125  101.203  101.172    0.032    0.398    0.399    0.399
-310.00   39.558  102.988  110.323  110.282    0.038    0.456    0.457    0.457
-305.00   45.665  111.871  120.832  120.777    0.047    0.526    0.528    0.528
-300.00   53.181  121.942  133.034  132.959    0.058    0.612    0.615    0.615
-295.00   62.542  133.390  147.324  147.220    0.072    0.719    0.722    0.722
-290.00   74.354  146.417  164.215  164.070    0.091    0.852    0.857    0.857
-285.00   89.470  161.224  184.386  184.180    0.116    1.022    1.029    1.029
-280.00  109.109  177.954  208.741  208.444    0.150    1.240    1.249    1.249
-275.00  135.031  196.585  238.494  238.058    0.196    1.524    1.536    1.536
-270.00  169.787  216.678  275.276  274.621    0.258    1.896    1.913    1.913
-265.00  217.032  236.852  321.250  320.244    0.342    2.388    2.412    2.412
-260.00  281.764  253.714  379.159  377.574    0.448    3.038    3.071    3.071
-255.00  369.911  259.871  452.070  449.515    0.568    3.883    3.925    3.925
-250.00  485.514  241.355  542.196  537.990    0.666    4.932    4.976    4.976
-245.00  621.830  181.043  647.649  640.645    0.653    6.090    6.125    6.125
-240.00  745.270  132.107  756.888  745.286    0.413    7.064    7.076    7.076
-235.00  793.245  296.902  846.988  828.279    0.253    7.375    7.380    7.376
-230.00  724.755  529.790  897.745  868.730    0.765    6.734    6.777    6.762
-225.00  576.822  705.688  911.438  867.799    1.128    5.436    5.552    5.498
-220.00  440.042  794.683  908.381  843.515    1.266    4.234    4.420    4.266
-215.00  411.607  808.834  907.542  811.151    1.264    3.990    4.186    3.997
-210.00  508.975  762.285  916.588  774.219    1.131    4.845    4.975    4.891
-205.00  637.274  678.165  930.605  727.392    0.807    5.946    6.000    5.968
