xc4
test cross section
XC4.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
 -50.00    2.544    3.165    4.060    4.055    0.066    0.160    0.173    0.168
 -49.00    2.575    3.324    4.205    4.199    0.075    0.144    0.162    0.154
 -48.00    2.603    3.493    4.356    4.350    0.085    0.128    0.154    0.139
 -47.00    2.627    3.672    4.515    4.509    0.096    0.114    0.149    0.125
 -46.00    2.646    3.862    4.682    4.675    0.108    0.106    0.152    0.113
 -45.00    2.661    4.064    4.857    4.850    0.122    0.109    0.163    0.130
 -44.00    2.668    4.277    5.041    5.034    0.137    0.125    0.186    0.163
 -43.00    2.669    4.503    5.234    5.226    0.155    0.155    0.219    0.204
 -42.00    2.660    4.742    5.437    5.429    0.174    0.197    0.263    0.253
 -41.00    2.642    4.994    5.650    5.642    0.195    0.249    0.316    0.309
 -40.00    2.612    5.261    5.874    5.865    0.218    0.311    0.379    0.375
 -39.00    2.568    5.543    6.109    6.099    0.244    0.381    0.453    0.449
 -38.00    2.509    5.839    6.356    6.346    0.273    0.462    0.536    0.534
 -37.00    2.432    6.151    6.615    6.604    0.304    0.553    0.631    0.630
 -36.00    2.335    6.478    6.886    6.875    0.339    0.656    0.738    0.737
 -35.00    2.216    6.820    7.171    7.159    0.377    0.770    0.858    0.857
 -34.00    2.070    7.176    7.468    7.456    0.418    0.899    0.991    0.991
 -33.00    1.896    7.545    7.780    7.767    0.464    1.041    1.140    1.139
 -32.00    1.691    7.926    8.105    8.091    0.513    1.200    1.305    1.304
 -31.00    1.453    8.317    8.443    8.429    0.565    1.375    1.487    1.487
 -30.00    1.184    8.715    8.795    8.781    0.621    1.570    1.688    1.688
 -29.00    0.892    9.116    9.160    9.145    0.681    1.784    1.909    1.909
 -28.00    0.623    9.516    9.536    9.522    0.743    2.018    2.151    2.151
 -27.00    0.550    9.908    9.924    9.909    0.808    2.275    2.415    2.415
 -26.00    0.832   10.287   10.320   10.306    0.874    2.555    2.700    2.700
 -25.00    1.321   10.643   10.724   10.710    0.940    2.858    3.009    3.009
 -24.00    1.918   10.966   11.132   11.119    1.004    3.185    3.340    3.340
 -23.00    2.598   11.245   11.542   11.529    1.065    3.535    3.692    3.692
 -22.00    3.348   11.469   11.948   11.936    1.120    3.907    4.064    4.064
 -21.00    4.163   11.623   12.346   12.335    1.166    4.298    4.453    4.453
 -20.00    5.032   11.693   12.730   12.721    1.201    4.706    4.856    4.856
 -19.00    5.945   11.667   13.095   13.087    1.222    5.125    5.269    5.269
 -18.00    6.887   11.533   13.433   13.426    1.225    5.551    5.685    5.685
 -17.00    7.840   11.279   13.736   13.731    1.209    5.978    6.099    6.098
 -16.00    8.781   10.902   13.998   13.995    1.171    6.396    6.502    6.502
 -15.00    9.686   10.400   14.212   14.210    1.111    6.797    6.888    6.887
 -14.00   10.530    9.779   14.371   14.370    1.030    7.174    7.248    7.248
 -13.00   11.290    9.051   14.470   14.470    0.929    7.518    7.575    7.575
 -12.00   11.942    8.236   14.507   14.507    0.813    7.821    7.863    7.863
 -11.00   12.472    7.358   14.481   14.481    0.687    8.078    8.107    8.107
 -10.00   12.871    6.447   14.395   14.395    0.558    8.286    8.305    8.305
  -9.00   13.137    5.534   14.255   14.254    0.432    8.445    8.456    8.456
  -8.00   13.280    4.647   14.070   14.068    0.316    8.557    8.562    8.562
  -7.00   13.316    3.814   13.851   13.849    0.216    8.627    8.629    8.629
  -6.00   13.267    3.051   13.614   13.611    0.139    8.662    8.663    8.663
  -5.00   13.161    2.370   13.373   13.370    0.088    8.671    8.672    8.671
  -4.00   13.026    1.774   13.146   13.144    0.062    8.663    8.663    8.663
  -3.00   12.888    1.254   12.949   12.947    0.051    8.646    8.646    8.646
  -2.00   12.771    0.798   12.796   12.796    0.039    8.628    8.628    8.628
  -1.00   12.694    0.388   12.700   12.700    0.022    8.615    8.615    8.615
   0.00   12.667    0.000   12.667   12.667    0.000    8.610    8.610    8.610
   1.00   12.694    0.388   12.700   12.700    0.022    8.615    8.615    8.615
   2.00   12.771    0.798   12.796   12.796    0.039    8.628    8.628    8.628
   3.00   12.888    1.254   12.949   12.947    0.051    8.646    8.646    8.646
   4.00   13.026    1.774   13.146   13.144    0.062    8.663    8.663    8.663
   5.00   13.161    2.370   13.373   13.370    0.088    8.671    8.672    8.671
   6.00   13.267    3.051   13.614   13.611    0.139    8.662    8.663    8.663
   7.00   13.316    3.814   13.851   13.849    0.216    8.627    8.629    8.629
   8.00   13.280    4.647   14.070   14.068    0.316    8.557    8.562    8.562
   9.00   13.137    5.534   14.255   14.254    0.432    8.445    8.456    8.456
  10.00   12.871    6.447   14.395   14.395    0.558    8.286    8.305    8.305
  11.00   12.472    7.358   14.481   14.481    0.687    8.078    8.107    8.107
  12.00   11.942    8.236   14.507   14.507    0.813    7.821    7.863    7.863
  13.00   11.290    9.051   14.470   14.470    0.929    7.518    7.575    7.575
  14.00   10.530    9.779   14.371   14.370    1.030    7.174    7.248    7.248
  15.00    9.686   10.400   14.212   14.210    1.111    6.797    6.888    6.887
  16.00    8.781   10.902   13.998   13.995    1.171    6.396    6.502    6.502
  17.00    7.840   11.279   13.736   13.731    1.209    5.978    6.099    6.098
  18.00    6.887   11.533   13.433   13.426    1.225    5.551    5.685    5.685
  19.00    5.945   11.667   13.095   13.087    1.222    5.125    5.269    5.269
  20.00    5.032   11.693   12.730   12.721    1.201    4.706    4.856    4.856
  21.00    4.163   11.623   12.346   12.335    1.166    4.298    4.453    4.453
  22.00    3.348   11.469   11.948   11.936    1.120    3.907    4.064    4.064
  23.00    2.598   11.245   11.542   11.529    1.065    3.535    3.692    3.692
  24.00    1.918   10.966   11.132   11.119    1.004    3.185    3.340    3.340
