Section 18, Existing
test
18E.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
 -20.00   20.111   45.221   49.491   49.403    0.208    0.475    0.519    0.518
 -19.00   22.735   44.517   49.986   49.894    0.206    0.544    0.582    0.581
 -18.00   25.324   43.651   50.465   50.369    0.204    0.612    0.645    0.644
 -17.00   27.867   42.628   50.929   50.830    0.202    0.679    0.709    0.707
 -16.00   30.353   41.455   51.379   51.278    0.198    0.745    0.771    0.769
 -15.00   32.774   40.139   51.820   51.716    0.194    0.809    0.832    0.831
 -14.00   35.123   38.687   52.252   52.146    0.190    0.871    0.892    0.890
 -13.00   37.392   37.108   52.680   52.572    0.185    0.932    0.950    0.948
 -12.00   39.579   35.410   53.107   52.998    0.179    0.990    1.006    1.004
 -11.00   41.680   33.601   53.537   53.426    0.173    1.046    1.060    1.059
 -10.00   43.693   31.690   53.976   53.863    0.167    1.100    1.112    1.111
  -9.00   45.620   29.683   54.426   54.311    0.161    1.151    1.162    1.160
  -8.00   47.460   27.585   54.894   54.777    0.154    1.199    1.209    1.208
  -7.00   49.217   25.401   55.385   55.265    0.148    1.245    1.254    1.253
  -6.00   50.891   23.133   55.902   55.779    0.141    1.289    1.297    1.295
  -5.00   52.485   20.785   56.451   56.324    0.134    1.330    1.337    1.335
  -4.00   54.000   18.357   57.035   56.904    0.128    1.368    1.374    1.372
  -3.00   55.435   15.854   57.657   57.521    0.121    1.403    1.408    1.407
  -2.00   56.787   13.286   58.321   58.179    0.114    1.435    1.440    1.438
  -1.00   58.051   10.682   59.026   58.878    0.107    1.465    1.469    1.467
   0.00   59.219    8.124   59.773   59.618    0.100    1.490    1.494    1.492
   1.00   60.277    5.862   60.561   60.397    0.093    1.513    1.515    1.514
   2.00   61.209    4.662   61.387   61.212    0.088    1.531    1.533    1.531
   3.00   61.996    5.564   62.245   62.059    0.084    1.544    1.546    1.544
   4.00   62.612    8.072   63.130   62.930    0.082    1.553    1.555    1.553
   5.00   63.031   11.295   64.035   63.818    0.084    1.556    1.558    1.556
   6.00   63.221   14.880   64.949   64.713    0.091    1.553    1.555    1.553
   7.00   63.152   18.697   65.862   65.604    0.102    1.543    1.546    1.543
