Section 18, Proposed
test
18P.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-100.00    2.962    3.109    4.294    3.360    0.010    0.108    0.109    0.109
 -99.00    3.032    3.175    4.391    3.434    0.010    0.111    0.112    0.112
 -98.00    3.104    3.244    4.490    3.510    0.011    0.115    0.115    0.115
 -97.00    3.178    3.316    4.593    3.589    0.011    0.118    0.118    0.118
 -96.00    3.255    3.390    4.700    3.671    0.012    0.121    0.122    0.122
 -95.00    3.335    3.466    4.810    3.755    0.012    0.125    0.126    0.126
 -94.00    3.417    3.545    4.924    3.843    0.013    0.129    0.129    0.129
 -93.00    3.502    3.627    5.042    3.933    0.013    0.133    0.133    0.133
 -92.00    3.589    3.712    5.164    4.027    0.014    0.137    0.138    0.137
 -91.00    3.680    3.800    5.290    4.125    0.015    0.141    0.142    0.142
 -90.00    3.774    3.891    5.421    4.226    0.015    0.146    0.146    0.146
 -89.00    3.872    3.986    5.557    4.331    0.016    0.150    0.151    0.151
 -88.00    3.973    4.084    5.698    4.440    0.017    0.155    0.156    0.156
 -87.00    4.077    4.186    5.844    4.554    0.017    0.160    0.161    0.161
 -86.00    4.186    4.292    5.995    4.672    0.018    0.165    0.166    0.166
 -85.00    4.299    4.401    6.152    4.795    0.019    0.171    0.172    0.172
 -84.00    4.416    4.515    6.315    4.923    0.020    0.177    0.178    0.177
 -83.00    4.538    4.633    6.485    5.057    0.021    0.182    0.184    0.183
 -82.00    4.664    4.755    6.661    5.196    0.022    0.189    0.190    0.190
 -81.00    4.796    4.882    6.844    5.341    0.023    0.195    0.197    0.196
 -80.00    4.933    5.013    7.034    5.493    0.024    0.202    0.204    0.203
 -79.00    5.076    5.150    7.231    5.652    0.025    0.209    0.211    0.210
 -78.00    5.226    5.291    7.437    5.818    0.027    0.217    0.218    0.218
 -77.00    5.382    5.437    7.650    5.991    0.028    0.225    0.226    0.226
 -76.00    5.546    5.588    7.873    6.173    0.030    0.233    0.235    0.234
 -75.00    5.717    5.744    8.104    6.363    0.031    0.242    0.244    0.243
 -74.00    5.897    5.905    8.345    6.563    0.033    0.251    0.253    0.252
 -73.00    6.086    6.071    8.596    6.772    0.035    0.261    0.263    0.262
 -72.00    6.284    6.241    8.857    6.991    0.036    0.271    0.273    0.272
 -71.00    6.494    6.417    9.129    7.220    0.038    0.281    0.284    0.283
 -70.00    6.715    6.596    9.413    7.462    0.041    0.292    0.295    0.295
 -69.00    6.949    6.780    9.709    7.715    0.043    0.304    0.307    0.306
 -68.00    7.197    6.967   10.017    7.980    0.045    0.317    0.320    0.319
 -67.00    7.460    7.157   10.338    8.259    0.048    0.330    0.333    0.332
 -66.00    7.739    7.350   10.673    8.552    0.050    0.344    0.347    0.346
 -65.00    8.035    7.543   11.021    8.860    0.053    0.358    0.362    0.361
 -64.00    8.351    7.738   11.385    9.183    0.056    0.374    0.378    0.377
 -63.00    8.688    7.932   11.764    9.521    0.059    0.390    0.394    0.393
 -62.00    9.047    8.124   12.159    9.877    0.062    0.407    0.412    0.410
 -61.00    9.429    8.312   12.570   10.250    0.065    0.425    0.430    0.428
 -60.00    9.837    8.496   12.998   10.642    0.068    0.444    0.449    0.447
 -59.00   10.272    8.674   13.444   11.052    0.071    0.464    0.469    0.467
 -58.00   10.735    8.843   13.908   11.482    0.075    0.484    0.490    0.488
 -57.00   11.227    9.002   14.391   11.932    0.078    0.506    0.512    0.510
 -56.00   11.749    9.150   14.892   12.403    0.081    0.529    0.535    0.533
 -55.00   12.301    9.285   15.412   12.894    0.084    0.552    0.559    0.557
 -54.00   12.883    9.407   15.952   13.408    0.087    0.577    0.583    0.581
 -53.00   13.494    9.515   16.511   13.943    0.089    0.602    0.608    0.606
 -52.00   14.131    9.610   17.089   14.500    0.092    0.628    0.634    0.632
 -51.00   14.793    9.695   17.687   15.078    0.094    0.654    0.661    0.659
 -50.00   15.475    9.773   18.302   15.678    0.095    0.681    0.688    0.686
 -49.00   16.171    9.852   18.936   16.298    0.096    0.708    0.715    0.713
 -48.00   16.876    9.942   19.587   16.939    0.096    0.735    0.741    0.739
 -47.00   17.580   10.056   20.253   17.598    0.096    0.762    0.768    0.766
 -46.00   18.274   10.210   20.933   18.274    0.095    0.788    0.794    0.792
 -45.00   18.947   10.425   21.626   18.966    0.093    0.813    0.819    0.816
 -44.00   19.585   10.723   22.328   19.671    0.091    0.837    0.842    0.840
 -43.00   20.175   11.125   23.039   20.386    0.087    0.859    0.864    0.861
 -42.00   20.700   11.651   23.753   21.109    0.084    0.879    0.883    0.881
 -41.00   21.144   12.315   24.469   21.835    0.081    0.896    0.900    0.897
 -40.00   21.492   13.126   25.183   22.562    0.078    0.910    0.914    0.911
 -39.00   21.727   14.081   25.891   23.284    0.076    0.921    0.924    0.921
 -38.00   21.835   15.173   26.589   23.998    0.076    0.927    0.930    0.927
 -37.00   21.802   16.385   27.273   24.700    0.079    0.929    0.933    0.929
 -36.00   21.620   17.696   27.939   25.384    0.084    0.927    0.930    0.927
 -35.00   21.281   19.080   28.582   26.046    0.092    0.919    0.924    0.920
 -34.00   20.786   20.507   29.200   26.681    0.102    0.907    0.912    0.908
 -33.00   20.139   21.947   29.787   27.286    0.113    0.889    0.896    0.891
 -32.00   19.352   23.369   30.341   27.856    0.125    0.867    0.876    0.870
 -31.00   18.446   24.740   30.859   28.388    0.138    0.841    0.852    0.845
 -30.00   17.450   26.032   31.339   28.879    0.150    0.810    0.824    0.816
 -29.00   16.405   27.217   31.778   29.327    0.161    0.776    0.793    0.783
 -28.00   15.364   28.271   32.176   29.729    0.171    0.740    0.760    0.748
 -27.00   14.392   29.175   32.532   30.085    0.180    0.702    0.725    0.711
