xc1
test cross section
XC1.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
 -50.00    2.340    2.191    3.206    2.371    0.128    0.956    0.965    0.964
 -49.00    2.426    2.262    3.317    2.456    0.135    0.998    1.007    1.006
 -48.00    2.516    2.335    3.433    2.545    0.142    1.041    1.051    1.050
 -47.00    2.612    2.412    3.555    2.638    0.150    1.087    1.097    1.096
 -46.00    2.712    2.493    3.683    2.737    0.159    1.135    1.146    1.145
 -45.00    2.818    2.576    3.818    2.840    0.167    1.186    1.198    1.196
 -44.00    2.929    2.664    3.959    2.949    0.177    1.239    1.252    1.250
 -43.00    3.046    2.756    4.108    3.063    0.187    1.296    1.309    1.308
 -42.00    3.169    2.852    4.263    3.184    0.197    1.356    1.370    1.368
 -41.00    3.299    2.952    4.427    3.311    0.208    1.418    1.433    1.431
 -40.00    3.435    3.057    4.599    3.444    0.220    1.484    1.501    1.498
 -39.00    3.579    3.168    4.779    3.585    0.232    1.554    1.571    1.569
 -38.00    3.729    3.284    4.969    3.733    0.244    1.627    1.645    1.642
 -37.00    3.887    3.407    5.169    3.888    0.258    1.704    1.723    1.720
 -36.00    4.052    3.536    5.378    4.052    0.272    1.784    1.805    1.801
 -35.00    4.225    3.672    5.598    4.225    0.286    1.869    1.890    1.886
 -34.00    4.405    3.817    5.828    4.406    0.301    1.957    1.980    1.975
 -33.00    4.592    3.970    6.070    4.597    0.317    2.049    2.073    2.068
 -32.00    4.786    4.133    6.323    4.797    0.334    2.145    2.171    2.164
 -31.00    4.986    4.307    6.589    5.007    0.351    2.245    2.272    2.265
 -30.00    5.192    4.493    6.866    5.227    0.370    2.348    2.377    2.369
 -29.00    5.402    4.692    7.155    5.458    0.389    2.455    2.486    2.476
 -28.00    5.615    4.905    7.456    5.698    0.410    2.566    2.599    2.587
 -27.00    5.830    5.135    7.769    5.949    0.432    2.680    2.715    2.701
 -26.00    6.045    5.382    8.094    6.210    0.456    2.797    2.834    2.818
 -25.00    6.257    5.648    8.429    6.480    0.483    2.917    2.956    2.938
 -24.00    6.465    5.933    8.775    6.758    0.512    3.039    3.082    3.061
 -23.00    6.664    6.239    9.129    7.045    0.544    3.164    3.211    3.186
 -22.00    6.853    6.565    9.490    7.338    0.580    3.292    3.343    3.313
 -21.00    7.030    6.910    9.857    7.636    0.619    3.422    3.477    3.443
 -20.00    7.191    7.272   10.227    7.937    0.662    3.555    3.616    3.576
 -19.00    7.335    7.648   10.597    8.238    0.708    3.691    3.758    3.713
 -18.00    7.463    8.033   10.965    8.538    0.756    3.831    3.905    3.854
 -17.00    7.574    8.421   11.326    8.833    0.805    3.977    4.058    4.000
 -16.00    7.672    8.803   11.677    9.119    0.854    4.128    4.216    4.153
 -15.00    7.761    9.170   12.014    9.394    0.901    4.286    4.380    4.313
 -14.00    7.847    9.513   12.332    9.653    0.942    4.452    4.551    4.480
 -13.00    7.937    9.823   12.629    9.893    0.977    4.627    4.729    4.656
 -12.00    8.038   10.088   12.899   10.111    1.002    4.808    4.912    4.839
 -11.00    8.157   10.302   13.140   10.303    1.016    4.997    5.099    5.028
 -10.00    8.296   10.459   13.349   10.467    1.018    5.190    5.289    5.221
  -9.00    8.456   10.556   13.525   10.603    1.006    5.384    5.477    5.414
  -8.00    8.634   10.596   13.668   10.708    0.982    5.576    5.662    5.603
  -7.00    8.824   10.582   13.778   10.786    0.947    5.761    5.839    5.786
  -6.00    9.018   10.522   13.858   10.836    0.902    5.937    6.005    5.958
  -5.00    9.208   10.427   13.911   10.864    0.852    6.099    6.158    6.116
  -4.00    9.387   10.308   13.942   10.874    0.800    6.244    6.295    6.258
  -3.00    9.552   10.176   13.957   10.870    0.749    6.372    6.416    6.382
  -2.00    9.700   10.039   13.960   10.858    0.703    6.481    6.519    6.489
  -1.00    9.833    9.904   13.956   10.844    0.664    6.572    6.606    6.577
   0.00    9.954    9.774   13.951   10.833    0.634    6.646    6.676    6.649
   1.00   10.069    9.649   13.946   10.826    0.612    6.704    6.732    6.706
   2.00   10.181    9.526   13.943   10.827    0.599    6.747    6.774    6.748
   3.00   10.292    9.402   13.940   10.834    0.593    6.777    6.803    6.777
   4.00   10.403    9.274   13.937   10.845    0.592    6.792    6.818    6.792
   5.00   10.511    9.137   13.928   10.856    0.595    6.793    6.820    6.794
   6.00   10.610    8.994   13.909   10.861    0.602    6.779    6.806    6.780
   7.00   10.690    8.844   13.875   10.856    0.611    6.747    6.775    6.748
   8.00   10.742    8.694   13.820   10.834    0.625    6.695    6.724    6.698
   9.00   10.754    8.550   13.739   10.792    0.643    6.620    6.652    6.626
  10.00   10.718    8.418   13.628   10.723    0.667    6.522    6.556    6.530
  11.00   10.625    8.305   13.486   10.627    0.694    6.398    6.435    6.411
  12.00   10.474    8.212   13.309   10.501    0.726    6.248    6.290    6.266
  13.00   10.263    8.140   13.099   10.346    0.758    6.074    6.121    6.098
  14.00    9.996    8.085   12.856   10.161    0.790    5.877    5.930    5.907
  15.00    9.681    8.039   12.584    9.950    0.817    5.660    5.718    5.697
  16.00    9.326    7.995   12.284    9.716    0.839    5.426    5.491    5.470
  17.00    8.943    7.945   11.962    9.461    0.854    5.180    5.250    5.230
  18.00    8.541    7.882   11.622    9.189    0.861    4.926    5.000    4.981
  19.00    8.131    7.800   11.267    8.905    0.859    4.667    4.745    4.726
  20.00    7.722    7.696   10.902    8.611    0.849    4.408    4.489    4.471
  21.00    7.322    7.569   10.531    8.312    0.831    4.152    4.234    4.217
  22.00    6.938    7.420   10.158    8.010    0.808    3.902    3.985    3.968
  23.00    6.573    7.250    9.786    7.709    0.779    3.660    3.742    3.725
  24.00    6.230    7.063    9.418    7.411    0.746    3.427    3.507    3.492
