17P
Cross Section 17, Proposed
17P.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
 -20.00   14.945   31.201   34.595   31.245    0.179    0.679    0.702    0.679
 -19.00   15.000   30.655   34.128   30.851    0.173    0.671    0.693    0.671
 -18.00   15.236   29.968   33.618   30.413    0.166    0.667    0.688    0.667
 -17.00   15.611   29.154   33.070   29.936    0.158    0.667    0.685    0.667
 -16.00   16.077   28.231   32.488   29.424    0.149    0.669    0.685    0.669
 -15.00   16.592   27.216   31.875   28.880    0.140    0.673    0.687    0.673
 -14.00   17.118   26.128   31.237   28.310    0.130    0.678    0.690    0.678
 -13.00   17.626   24.985   30.576   27.716    0.120    0.684    0.694    0.684
 -12.00   18.091   23.803   29.898   27.103    0.110    0.689    0.698    0.689
 -11.00   18.498   22.600   29.205   26.474    0.100    0.694    0.701    0.694
 -10.00   18.836   21.390   28.501   25.834    0.091    0.698    0.704    0.698
  -9.00   19.098   20.189   27.791   25.186    0.083    0.700    0.705    0.700
  -8.00   19.283   19.007   27.076   24.532    0.075    0.701    0.705    0.701
  -7.00   19.390   17.858   26.360   23.876    0.068    0.701    0.704    0.701
  -6.00   19.422   16.748   25.646   23.220    0.062    0.699    0.701    0.699
  -5.00   19.383   15.688   24.936   22.568    0.057    0.695    0.697    0.695
  -4.00   19.277   14.683   24.232   21.921    0.054    0.690    0.692    0.690
  -3.00   19.112   13.737   23.537   21.281    0.051    0.683    0.685    0.683
  -2.00   18.893   12.855   22.851   20.650    0.049    0.674    0.676    0.675
  -1.00   18.626   12.039   22.178   20.029    0.048    0.665    0.667    0.666
   0.00   18.317   11.289   21.517   19.420    0.047    0.654    0.656    0.655
   1.00   17.974   10.606   20.870   18.824    0.047    0.643    0.645    0.644
   2.00   17.602    9.988   20.238   18.242    0.047    0.630    0.632    0.631
   3.00   17.205    9.433   19.622   17.674    0.048    0.617    0.619    0.618
   4.00   16.790    8.939   19.021   17.121    0.048    0.603    0.605    0.605
   5.00   16.361    8.501   18.438   16.584    0.048    0.589    0.591    0.591
   6.00   15.922    8.115   17.871   16.062    0.048    0.575    0.577    0.576
   7.00   15.476    7.778   17.321   15.556    0.048    0.560    0.562    0.561
   8.00   15.027    7.483   16.788   15.066    0.048    0.545    0.547    0.547
   9.00   14.578    7.227   16.271   14.592    0.048    0.530    0.532    0.532
  10.00   14.132    7.004   15.772   14.133    0.047    0.515    0.517    0.517
  11.00   13.689    6.809   15.289   13.690    0.047    0.500    0.502    0.502
  12.00   13.252    6.639   14.822   13.262    0.046    0.485    0.487    0.487
  13.00   12.823    6.489   14.372   12.849    0.045    0.470    0.472    0.472
  14.00   12.402    6.357   13.936   12.450    0.044    0.456    0.458    0.458
  15.00   11.991    6.238   13.517   12.066    0.043    0.442    0.444    0.444
  16.00   11.591    6.130   13.112   11.696    0.042    0.428    0.430    0.430
  17.00   11.201    6.030   12.721   11.339    0.041    0.414    0.416    0.416
  18.00   10.823    5.938   12.345   10.995    0.040    0.401    0.403    0.403
  19.00   10.456    5.851   11.982   10.664    0.039    0.388    0.390    0.390
  20.00   10.101    5.768   11.632   10.345    0.038    0.375    0.377    0.377
  21.00    9.758    5.688   11.295   10.037    0.037    0.363    0.365    0.365
  22.00    9.427    5.611   10.970    9.741    0.036    0.351    0.353    0.353
  23.00    9.107    5.535   10.657    9.457    0.035    0.340    0.341    0.341
  24.00    8.799    5.460   10.355    9.182    0.034    0.329    0.330    0.330
  25.00    8.502    5.385   10.064    8.918    0.032    0.318    0.319    0.319
  26.00    8.216    5.312    9.784    8.664    0.031    0.307    0.309    0.309
  27.00    7.942    5.238    9.514    8.419    0.030    0.297    0.299    0.299
  28.00    7.677    5.165    9.253    8.182    0.029    0.288    0.289    0.289
  29.00    7.423    5.092    9.002    7.955    0.028    0.278    0.280    0.280
  30.00    7.179    5.020    8.760    7.736    0.027    0.269    0.271    0.270
  31.00    6.945    4.947    8.527    7.525    0.026    0.260    0.262    0.262
  32.00    6.719    4.875    8.301    7.321    0.025    0.252    0.253    0.253
  33.00    6.503    4.802    8.084    7.125    0.024    0.244    0.245    0.245
  34.00    6.295    4.730    7.874    6.936    0.023    0.236    0.237    0.237
  35.00    6.096    4.659    7.672    6.753    0.023    0.229    0.230    0.230
  36.00    5.904    4.587    7.477    6.577    0.022    0.221    0.222    0.222
  37.00    5.720    4.516    7.288    6.408    0.021    0.214    0.215    0.215
  38.00    5.544    4.446    7.106    6.244    0.020    0.208    0.209    0.209
  39.00    5.374    4.376    6.930    6.086    0.019    0.201    0.202    0.202
  40.00    5.211    4.307    6.760    5.933    0.019    0.195    0.196    0.196
  41.00    5.054    4.238    6.596    5.785    0.018    0.189    0.190    0.190
  42.00    4.904    4.170    6.437    5.643    0.017    0.183    0.184    0.184
  43.00    4.760    4.103    6.284    5.505    0.017    0.178    0.179    0.178
  44.00    4.621    4.036    6.135    5.372    0.016    0.172    0.173    0.173
  45.00    4.487    3.971    5.992    5.244    0.015    0.167    0.168    0.168
  46.00    4.359    3.906    5.853    5.120    0.015    0.162    0.163    0.163
  47.00    4.236    3.842    5.719    4.999    0.014    0.157    0.158    0.158
  48.00    4.117    3.779    5.588    4.883    0.014    0.153    0.154    0.153
  49.00    4.003    3.717    5.462    4.771    0.013    0.148    0.149    0.149
  50.00    3.893    3.656    5.340    4.662    0.013    0.144    0.145    0.145
  51.00    3.787    3.596    5.222    4.556    0.012    0.140    0.141    0.141
  52.00    3.685    3.537    5.108    4.454    0.012    0.136    0.137    0.137
  53.00    3.587    3.478    4.997    4.355    0.012    0.132    0.133    0.133
  54.00    3.493    3.421    4.889    4.259    0.011    0.129    0.129    0.129
  55.00    3.402    3.365    4.785    4.167    0.011    0.125    0.126    0.126
  56.00    3.314    3.310    4.684    4.077    0.010    0.122    0.122    0.122
  57.00    3.230    3.255    4.586    3.989    0.010    0.118    0.119    0.119
  58.00    3.148    3.202    4.490    3.905    0.010    0.115    0.116    0.116
  59.00    3.069    3.150    4.398    3.823    0.009    0.112    0.112    0.112
  60.00    2.994    3.098    4.308    3.743    0.009    0.109    0.109    0.109
  61.00    2.920    3.048    4.221    3.666    0.009    0.106    0.107    0.107
  62.00    2.850    2.998    4.136    3.591    0.008    0.103    0.104    0.104
  63.00    2.781    2.950    4.054    3.518    0.008    0.101    0.101    0.101
  64.00    2.716    2.902    3.974    3.447    0.008    0.098    0.099    0.099
  65.00    2.652    2.855    3.897    3.379    0.008    0.096    0.096    0.096
  66.00    2.590    2.809    3.821    3.312    0.007    0.093    0.094    0.094
  67.00    2.531    2.764    3.748    3.247    0.007    0.091    0.091    0.091
  68.00    2.473    2.720    3.677    3.184    0.007    0.089    0.089    0.089
  69.00    2.418    2.677    3.607    3.123    0.007    0.087    0.087    0.087
  70.00    2.364    2.635    3.540    3.063    0.006    0.084    0.085    0.085
  71.00    2.312    2.593    3.474    3.005    0.006    0.082    0.083    0.083
  72.00    2.261    2.552    3.410    2.949    0.006    0.080    0.081    0.081
  73.00    2.212    2.513    3.348    2.894    0.006    0.079    0.079    0.079
  74.00    2.165    2.473    3.287    2.840    0.006    0.077    0.077    0.077
  75.00    2.119    2.435    3.228    2.788    0.005    0.075    0.075    0.075
  76.00    2.075    2.398    3.171    2.738    0.005    0.073    0.073    0.073
  77.00    2.032    2.361    3.115    2.688    0.005    0.071    0.072    0.072
  78.00    1.990    2.325    3.060    2.640    0.005    0.070    0.070    0.070
  79.00    1.949    2.289    3.007    2.594    0.005    0.068    0.068    0.068
  80.00    1.910    2.254    2.955    2.548    0.005    0.067    0.067    0.067
  81.00    1.872    2.220    2.904    2.504    0.004    0.065    0.065    0.065
  82.00    1.835    2.187    2.855    2.460    0.004    0.064    0.064    0.064
  83.00    1.799    2.154    2.807    2.418    0.004    0.062    0.063    0.063
  84.00    1.764    2.122    2.760    2.377    0.004    0.061    0.061    0.061
  85.00    1.730    2.091    2.714    2.337    0.004    0.060    0.060    0.060
  86.00    1.697    2.060    2.669    2.298    0.004    0.059    0.059    0.059
  87.00    1.665    2.030    2.626    2.259    0.004    0.057    0.057    0.057
  88.00    1.634    2.000    2.583    2.222    0.004    0.056    0.056    0.056
  89.00    1.604    1.971    2.541    2.186    0.004    0.055    0.055    0.055
  90.00    1.574    1.943    2.501    2.150    0.003    0.054    0.054    0.054
  91.00    1.546    1.915    2.461    2.115    0.003    0.053    0.053    0.053
  92.00    1.518    1.888    2.422    2.081    0.003    0.052    0.052    0.052
  93.00    1.491    1.861    2.385    2.048    0.003    0.051    0.051    0.051
  94.00    1.465    1.835    2.348    2.016    0.003    0.050    0.050    0.050
  95.00    1.439    1.809    2.311    1.984    0.003    0.049    0.049    0.049
  96.00    1.414    1.784    2.276    1.953    0.003    0.048    0.048    0.048
  97.00    1.390    1.759    2.241    1.923    0.003    0.047    0.047    0.047
  98.00    1.366    1.734    2.208    1.894    0.003    0.046    0.046    0.046
  99.00    1.343    1.711    2.175    1.865    0.003    0.045    0.045    0.045
 100.00    1.320    1.687    2.142    1.837    0.003    0.044    0.044    0.044
